time_sec,n,RMSE
0.0,7,0.07383498756457792
86400.0,7,0.08325289375270523
172800.0,6,0.08002195021223112
259200.0,6,0.07074206189517471
345600.0,8,0.07324038449594214
432000.0,6,0.05903390436897812
518400.0,7,0.05771226341551962
604800.0,7,0.04993373418586063
691200.0,7,0.04784049855893704
777600.0,8,0.05476084241961658
864000.0,6,0.058430891640678044
950400.0,7,0.06491895417983899
1036800.0,5,0.06714825429300574
1123200.0,7,0.08001449302552019
1209600.0,7,0.08179422909117191
1296000.0,7,0.08926171940768832
1382400.0,4,0.08230565155827013
1468800.0,6,0.07108016144550189
1555200.0,6,0.0782761544760894
1641600.0,6,0.0688876593589187
1728000.0,6,0.05856492892580563
1814400.0,6,0.056985081854435266
1900800.0,12,0.0513076741103581
1987200.0,17,0.04998754504868555
2073600.0,9,0.04745056228891635
2160000.0,6,0.047202549208842
2246400.0,5,0.04853711978403509
2332800.0,6,0.06108806452602881
2419200.0,6,0.07088483851763346
2505600.0,7,0.07537013228802807
2592000.0,7,0.06998291665477484
2678400.0,7,0.07005229765725943
2764800.0,7,0.07285191253297116
2851200.0,7,0.08284668693803787
2937600.0,6,0.07113195927887271
3024000.0,5,0.06613814663086368
3110400.0,6,0.055234475017145464
3196800.0,5,0.05492679879779285
3283200.0,7,0.05368873957395197
3369600.0,5,0.057572519837533385
3456000.0,6,0.06165538677009847
3542400.0,5,0.06302081610111
3628800.0,6,0.07835262824643917
3715200.0,6,0.07604155776384439
3801600.0,5,0.08520500716838614
3888000.0,7,0.07345960607864457
3974400.0,7,0.0721660937343106
4060800.0,6,0.06730014675300497
4147200.0,5,0.06457730857735781
4233600.0,5,0.054746104295761606
4320000.0,6,0.05022988544175599
4406400.0,7,0.0471752188012927
4492800.0,7,0.04549335938348126
4579200.0,7,0.05049016131573804
4665600.0,8,0.053692181370067996
4752000.0,8,0.05624483587524355
4838400.0,8,0.0600959865315601
4924800.0,6,0.06785898702701307
5011200.0,6,0.07057963789976555
5097600.0,5,0.06936165521202865
5184000.0,5,0.06960584779003395
5270400.0,5,0.06676188010346616
5356800.0,5,0.06858068594227956
5443200.0,5,0.06046792700682964
5529600.0,7,0.06613902610643803
5616000.0,7,0.07068416114243331
5702400.0,19,0.061420505186597966
5788800.0,7,0.06597985549798674
5875200.0,8,0.07303230022467257
5961600.0,7,0.08118300473805871
6048000.0,7,0.08915717932124942
6134400.0,8,0.08965307168803015
6220800.0,7,0.08084015530060526
6307200.0,8,0.08865102667427067
6393600.0,6,0.07892585598799551
6480000.0,7,0.07013198344301155
6566400.0,7,0.06960527853185723
6652800.0,8,0.07360897829793328
6739200.0,7,0.062480446904659336
6825600.0,7,0.0625944939860434
6912000.0,7,0.06122275232205846
6998400.0,7,0.055844813178029175
7084800.0,7,0.05593372543709616
7171200.0,8,0.06098171352498751
7257600.0,6,0.06283708964828703
7344000.0,8,0.06826927178265695
7430400.0,5,0.07759705139337816
7516800.0,5,0.08521228734030992
7603200.0,6,0.09109219239020963
7689600.0,5,0.09576564075498091
7776000.0,6,0.08937883869559786
7862400.0,7,0.07989410828303738
7948800.0,7,0.0764957403709881
8035200.0,7,0.07514812776065997
8121600.0,10,0.0738764150315433
8208000.0,8,0.0714360619145981
8294400.0,6,0.07591598158975235
8380800.0,6,0.07319739090866009
8467200.0,9,0.0754625726845097
8553600.0,7,0.07597286685927668
