time,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
2023-06-09T01:00:00,0.15061825117616076,14451.897718270046,0.010061353991468357,7.245105178698472e-06,18371.53525137811,3.033589553496178e-07,0.0022403487702205467,14451.897718270046,0.15061825117616076,0.010061353991468357
2023-09-22T04:00:00,0.20098262747820744,14639.210974387312,0.010083850811856195,4.4385285447580455e-06,28642.57211955448,5.156774379415137e-07,0.0043772689233560255,14639.210974387312,0.20098262747820744,0.010083850811856195
2023-12-18T01:00:00,0.1769206549516809,12908.546657797138,0.010030092030546707,7.996996201384427e-06,26550.956043123664,5.240174417284872e-07,0.005188293463601059,12908.546657797138,0.1769206549516809,0.010030092030546707
