time_sec,RMSE,crps_norm,coverage90,sigma_tau,sigma_u,l_u,tau_u,sigma_v,l_v,tau_v,sigma_S,l_S,tau_S
0.0,0.044515826599797255,0.02505218556959054,0.871,2.5247982655514033e-08,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
0.0,0.044515826599797255,0.02505218556959054,0.871,2.5247982655514033e-08,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
3600.0,0.04760844881713987,0.026701475050654812,0.8624,4.2730151052715084e-07,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
7200.0,0.05112856276904782,0.028659398688229545,0.8406,5.265354634742932e-07,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
10800.0,0.051739033568566496,0.02924854567794215,0.8224,8.2201361447179e-08,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
14400.0,0.04960489553649987,0.02814980877526375,0.8194,4.0375558356573577e-07,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
18000.0,0.04732853669490545,0.0265838831327863,0.8476,4.5715690767678303e-07,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
21600.0,0.0463545646654164,0.025845829201958565,0.8638,4.005035450441972e-08,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
25200.0,0.04688036706006714,0.025926803685703173,0.8616,3.0029747925908633e-07,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
28800.0,0.047579626487420264,0.026202860439639028,0.8572,7.262860191081184e-07,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
32400.0,0.048400361410828346,0.0266487070218933,0.8512,4.391345943606121e-07,0.11056515459078979,38203.23016968329,0.009162864730699688,0.11083032707941656,38397.701414694064,0.010220463199394954,1.2872146578431735e-07,13854.573331461268,1.5489529052650616e-07
