coverage_sparse,RMSE,crps_norm,coverage90,sigma_tau,sigma_u,l_u,tau_u,sigma_v,l_v,tau_v,sigma_S,l_S,tau_S
0.0,0.04451583726269541,0.025052193145872915,0.871,3.7438333980870945e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.03,0.0456038867233186,0.025624525227193704,0.8634,4.87551752764242e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.06,0.04722779706954287,0.026576426663167847,0.8524,2.914693632237958e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.09,0.046326488642584714,0.026027059922055333,0.8584,2.944157530482219e-08,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.12,0.04986809219206002,0.028059980048165234,0.8424,4.785655493664496e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.15,0.048801338588783216,0.027448845993082643,0.8476,8.018553134315962e-08,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.18,0.05065720942283015,0.028282928255752585,0.8394,2.317232967537029e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.21,0.05380744257906732,0.030206860848098278,0.8234,3.240451629398455e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.24,0.0546239087153888,0.030921144532709003,0.818,4.303066029698189e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.27,0.053547644383281336,0.030127509365049338,0.8348,3.313435391443016e-08,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
