time_sec,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.0,0.04687437010884905,0.026622186346044917,0.8424,0.08772560963932075,20794.905061123303,0.01782625391935251,1.470059158875832e-07,20840.264905136595,1.032185804897003e-08,7.982426295660533e-05,20794.905061123303,0.08772560963932075,0.01782625391935251
86400.0,0.04922181276917175,0.027914450237531765,0.8354,0.0999074982692139,24956.892473306834,0.015681025096414124,2.0359829751823213e-07,25323.021786953443,1.778387007832267e-08,0.00013681448381120483,24956.892473306834,0.0999074982692139,0.015681025096414124
172800.0,0.05250110327853596,0.02977631508210631,0.8486,0.09118747440214973,17346.632502361354,0.015403195898243372,2.163182180826359e-07,26577.704836784036,1.4098854507362287e-08,0.00010900391154566573,17346.632502361354,0.09118747440214973,0.015403195898243372
259200.0,0.04864094959789321,0.02768424011535848,0.8498,0.09373546614509608,19210.70103448838,0.01525918583258542,2.1066979891927514e-07,26721.259114400305,1.054844181967765e-08,9.131379132604732e-05,19210.70103448838,0.09373546614509608,0.01525918583258542
345600.0,0.053067220618167245,0.029904758480242356,0.8448,0.0817374469346745,14989.32111106791,0.013169908943570192,1.9635794972414542e-07,21329.782140665357,7.396929963534998e-09,5.659088955735237e-05,14989.32111106791,0.0817374469346745,0.013169908943570192
432000.0,0.044831378772492575,0.025235474961781232,0.799,0.07393144026653722,18219.819433914872,0.016784449397096713,8.838946548460496e-08,15946.583965798058,5.78499362940292e-09,5.011443886287798e-05,18219.819433914872,0.07393144026653722,0.016784449397096713
518400.0,0.04227716338105373,0.023813750275206064,0.8124,0.06863269925679315,18884.91906272887,0.017039882893422075,1.1415704540150034e-07,17568.762638459222,2.0772996553005e-09,1.6378159757468666e-05,18884.91906272887,0.06863269925679315,0.017039882893422075
604800.0,0.04435754314890837,0.025125093395803676,0.774,0.05933708237527052,14584.856396680312,0.013809631905404378,1.1247450126539918e-07,20263.410667444627,3.0367522381395677e-09,3.25346253143331e-05,14584.856396680312,0.05933708237527052,0.013809631905404378
691200.0,0.041917834604807525,0.02355224069947789,0.7766,0.05907177603101793,18192.96122281461,0.016758522302796924,8.462496627610288e-08,18045.50002447853,5.762839768957423e-09,6.149341719067039e-05,18192.96122281461,0.05907177603101793,0.016758522302796924
777600.0,0.04857043081419814,0.02715223992388371,0.806,0.05832177946024139,12603.568926301423,0.01474298861502106,1.6287730206816272e-07,21009.573858396074,6.629574189470817e-09,9.068692913108872e-05,12603.568926301423,0.05832177946024139,0.01474298861502106
864000.0,0.051804743133984435,0.029842275113497147,0.7548,0.06835393074535337,13830.092406471671,0.014365276715253644,1.3629125314176598e-07,29229.102896306762,9.365890124413123e-09,8.686300104628064e-05,13830.092406471671,0.06835393074535337,0.014365276715253644
950400.0,0.046074843994319846,0.025736423785173577,0.864,0.07934796939845157,15296.653486141991,0.014368765359583528,2.2183033790339928e-07,29596.70758749236,1.0823384181400868e-08,0.0001043118974889309,15296.653486141991,0.07934796939845157,0.014368765359583528
1036800.0,0.04979693007968091,0.02744374344643601,0.8528,0.08515502425618356,18152.509367693103,0.017918093255284602,3.124398097033924e-07,30176.513153207186,1.606132640878331e-10,7.36934459994307e-07,18152.509367693103,0.08515502425618356,0.017918093255284602
1123200.0,0.05136101762989054,0.028875670770743194,0.8482,0.09330933023118008,17549.0890202356,0.015673778566407767,2.2058081013686955e-07,23517.33985275796,2.5219897576885704e-10,1.2037025135228272e-06,17549.0890202356,0.09330933023118008,0.015673778566407767
1209600.0,0.052157412330042105,0.028999474509423907,0.8356,0.09288621063667327,18014.693061523856,0.015538177063165081,1.5572694120932508e-07,19711.008096730282,4.188035114640819e-09,2.3853427247853253e-05,18014.693061523856,0.09288621063667327,0.015538177063165081
1296000.0,0.05047583755039636,0.028462077760791647,0.8438,0.1005428194897409,20170.96737086733,0.016321725341137135,1.8847242225468395e-07,20133.749666399584,4.872217287498165e-09,3.0344059559036203e-05,20170.96737086733,0.1005428194897409,0.016321725341137135
1382400.0,0.04599748045973484,0.026095087311896532,0.8448,0.09756468287010017,21523.31293153068,0.01688810831873558,1.6455518236698158e-07,18459.03433023393,1.8590928985337452e-09,1.1498765263753827e-05,21523.31293153068,0.09756468287010017,0.01688810831873558
1468800.0,0.05120878518485243,0.028526688722531578,0.833,0.08796559230867211,15320.396729842234,0.01533457715771752,2.1046869857975757e-07,29432.752623675708,8.798099386063412e-09,6.141117926836159e-05,15320.396729842234,0.08796559230867211,0.01533457715771752
1555200.0,0.04997577302803113,0.02790269459560725,0.857,0.08471468773252001,16718.05352866042,0.014864943604275968,1.6756613845610911e-07,17499.63935298503,8.225407311093149e-09,8.480302656625769e-05,16718.05352866042,0.08471468773252001,0.014864943604275968
1641600.0,0.04178814424230483,0.023634294798581312,0.8236,0.0782477674807648,21686.86482874405,0.014631416089553756,1.3563345823111252e-07,20273.878874874474,1.5686580026300037e-08,0.00012345636503992058,21686.86482874405,0.0782477674807648,0.014631416089553756
1728000.0,0.039935718605393626,0.02257416692884132,0.777,0.06370336496263115,20655.481705443897,0.015968422452201172,1.0545363692264211e-07,22901.296592407092,1.044162687807415e-08,8.9588782539043e-05,20655.481705443897,0.06370336496263115,0.015968422452201172
1814400.0,0.036630498242446866,0.020893628336769565,0.8378,0.06704036152343627,19640.52018268032,0.014471089628275162,1.7797710541650179e-07,30787.78317352251,1.530663379219628e-08,0.00012557158291391112,19640.52018268032,0.06704036152343627,0.014471089628275162
1900800.0,0.035490376259414994,0.020042698975826584,0.848,0.05703869040090902,22042.279532993278,0.014076322770675446,1.561040110109546e-07,15694.6365389549,4.2100773877733995e-09,3.559630494237053e-05,22042.279532993278,0.05703869040090902,0.014076322770675446
1987200.0,0.03686340605478081,0.02028070976611123,0.8406,0.06149556297283542,20948.30441375265,0.013190223197255891,2.280825997317699e-07,31211.16913842662,1.2865426815001066e-08,0.00010561738094310757,20948.30441375265,0.06149556297283542,0.013190223197255891
2073600.0,0.03665223271467076,0.02049363688746118,0.8602,0.05575217438912894,18797.57415010257,0.013305808313401888,1.9308478462306023e-07,19643.073914181536,9.448614942678447e-09,9.056302456131585e-05,18797.57415010257,0.05575217438912894,0.013305808313401888
2160000.0,0.03337414345822864,0.01852517613674476,0.8262,0.06668359306028038,25303.42023727883,0.013787836612963464,1.6407371148445364e-07,35605.00420641263,1.6841100504889202e-08,0.00014065850254651704,25303.42023727883,0.06668359306028038,0.013787836612963464
2246400.0,0.03212574908090628,0.017933630383077676,0.8368,0.07650737729593281,30634.68348998136,0.01613822871015888,2.174012636185185e-07,51039.72567016405,1.8481935203432454e-08,0.0001549346988735559,30634.68348998136,0.07650737729593281,0.01613822871015888
2332800.0,0.03602858569425777,0.020347246440053323,0.8186,0.08299545259294736,29434.159395990235,0.016098056926452685,1.342097462369064e-07,26820.271176450442,1.9064473018435232e-08,0.0001320043347725781,29434.159395990235,0.08299545259294736,0.016098056926452685
2419200.0,0.05034376177406227,0.029385300163436382,0.7238,0.09330343845863934,30316.235271438713,0.01677462527607109,1.5593392946623915e-07,21723.801099644897,2.9298746768731433e-08,8.912674795033372e-05,30316.235271438713,0.09330343845863934,0.01677462527607109
2505600.0,0.048755969598649716,0.02782113994126247,0.819,0.09837047858442045,22821.39061829553,0.01553987900717187,1.6951583932452515e-07,21785.781757900546,8.461014012438356e-09,7.296417802794785e-05,22821.39061829553,0.09837047858442045,0.01553987900717187
2592000.0,0.04544468492358513,0.025830490952233953,0.812,0.09361974754749,23538.113024011935,0.01623217764537374,1.3894949443236426e-07,19512.83592641438,6.580826245609434e-09,2.061873616000574e-05,23538.113024011935,0.09361974754749,0.01623217764537374
2678400.0,0.043448328751376386,0.02397900718180039,0.8428,0.08952336773718814,21842.39525092731,0.018942187085918247,1.3572140360852076e-07,27261.314167486024,9.221094360766902e-09,6.308139332234534e-05,21842.39525092731,0.08952336773718814,0.018942187085918247
2764800.0,0.04549408021291832,0.02539622792501679,0.8456,0.08838548450814966,19112.888057513228,0.016344694943795247,1.2389375467818333e-07,19202.908691534667,1.616903251459698e-10,1.2167405448680504e-06,19112.888057513228,0.08838548450814966,0.016344694943795247
2851200.0,0.045857837491302726,0.025590251737428106,0.8548,0.09474496620643888,22267.82420643569,0.017054105095580967,1.643596410078075e-07,18808.376832149872,6.694641321609009e-09,3.3090094956423275e-05,22267.82420643569,0.09474496620643888,0.017054105095580967
2937600.0,0.03982530938920173,0.022292663701551817,0.834,0.0853305037989428,21012.68208713543,0.015925729527063916,1.0822746868535715e-07,21224.14743481974,9.78001560377227e-09,6.704896276662939e-05,21012.68208713543,0.0853305037989428,0.015925729527063916
3024000.0,0.041389956434616765,0.02335148958278156,0.8104,0.07586039008502403,19606.61239896589,0.01756338792849417,1.7732352825297564e-07,38778.03852729075,8.811342294455041e-09,6.893681281373246e-05,19606.61239896589,0.07586039008502403,0.01756338792849417
3110400.0,0.03768730981318658,0.021285993628116225,0.8056,0.0680851506598543,20133.716977080017,0.01655932294656572,9.90925161363487e-08,24798.20504558457,6.293516719004732e-09,5.5146737889291854e-05,20133.716977080017,0.0680851506598543,0.01655932294656572
3196800.0,0.03796105855094812,0.02104085796217063,0.7888,0.056080009618769806,19747.892421267323,0.01806152691243902,8.772406715473188e-08,21796.80261976988,3.749299887146774e-09,3.0408179195198388e-05,19747.892421267323,0.056080009618769806,0.01806152691243902
3283200.0,0.034056147872168686,0.01859321532169119,0.8292,0.06691376670068824,26979.654619239333,0.01824759050639317,1.1704311246339286e-07,32323.799752820178,1.129101372638129e-08,9.68843010589161e-05,26979.654619239333,0.06691376670068824,0.01824759050639317
3369600.0,0.03881308995502106,0.02181402577836433,0.7668,0.06666639926152497,26356.680877270053,0.018742077498899057,1.0807995491563263e-07,24220.611912469216,8.198053882470308e-09,5.868908543889458e-05,26356.680877270053,0.06666639926152497,0.018742077498899057
3456000.0,0.04311454300087325,0.024186514999542146,0.8214,0.07609707134488536,18437.489508874783,0.018527432208136848,1.4140094432428851e-07,25857.193368193428,8.296965428209974e-09,7.087827870183003e-05,18437.489508874783,0.07609707134488536,0.018527432208136848
3542400.0,0.04305285992733594,0.02439177362165653,0.8054,0.08421725483591336,23399.937272965148,0.0194129161211658,1.2548643230788766e-07,21686.941613558087,7.953460727675326e-09,7.70106507627489e-05,23399.937272965148,0.08421725483591336,0.0194129161211658
3628800.0,0.052592456531071814,0.030204977045323517,0.7466,0.08507835550539566,18208.431946434484,0.016341686253888568,1.0144432108824199e-07,17311.07463408235,8.148048559431466e-09,5.7253789921246085e-05,18208.431946434484,0.08507835550539566,0.016341686253888568
3715200.0,0.04568661129998537,0.025449012039733543,0.7932,0.09270858828833256,23504.95720161217,0.018601589375044466,1.2406793439395438e-07,26752.534853490473,2.4062108867124047e-10,9.787562504971067e-07,23504.95720161217,0.09270858828833256,0.018601589375044466
3801600.0,0.055308284928666386,0.029511148189787877,0.8538,0.09880250058842821,19007.9914163373,0.01434621831355846,2.1740414574069784e-07,20710.837557167713,1.7124331828006805e-08,0.00012608167916236448,19007.9914163373,0.09880250058842821,0.01434621831355846
3888000.0,0.047268144645529225,0.02622098689704542,0.821,0.09028277730443426,19909.347610154316,0.01566446970710582,1.847589418373514e-07,27474.17825540436,1.0356803098533794e-08,5.675085524735822e-05,19909.347610154316,0.09028277730443426,0.01566446970710582
3974400.0,0.045808682374423496,0.025575365662181278,0.8328,0.0899478361264613,19379.581659651907,0.017323853759079442,1.8983233348851034e-07,26456.853663692233,6.093528008689707e-09,3.0984344262864886e-05,19379.581659651907,0.0899478361264613,0.017323853759079442
4060800.0,0.043045103215728554,0.02410381624543736,0.815,0.08996075351781699,22124.255340851487,0.018141663580710336,1.860449631723048e-07,30142.270598237705,1.1423989398249275e-10,5.082135431177302e-07,22124.255340851487,0.08996075351781699,0.018141663580710336
