time_sec,n,RMSE
0.0,7,0.07383498756885425
3600.0,7,0.06661490222541849
7200.0,6,0.07009134700219975
10800.0,8,0.07193875159538146
14400.0,8,0.07214371848822643
18000.0,7,0.07622986198172317
21600.0,6,0.07498176408257264
25200.0,6,0.07274573672362085
28800.0,7,0.07524372982784433
32400.0,7,0.07660406124081998
36000.0,5,0.07556430217591154
39600.0,6,0.07423707965285244
43200.0,6,0.07648331232946703
46800.0,4,0.06859481694797162
50400.0,5,0.06745131965772036
54000.0,6,0.0662087229020166
57600.0,5,0.06472819995730736
61200.0,7,0.06684893368999124
64800.0,6,0.066853170290857
68400.0,6,0.06809239237772537
72000.0,7,0.0701563738162858
75600.0,7,0.07325995977252946
79200.0,4,0.0777966669936122
82800.0,4,0.07508039064425599
86400.0,7,0.08325289375645308
90000.0,7,0.07836136004811999
93600.0,7,0.0775675039119741
97200.0,5,0.0754673534453862
100800.0,5,0.06870668088938123
104400.0,7,0.07218859058535228
108000.0,7,0.07823501878947335
111600.0,5,0.07624374126640984
115200.0,5,0.07627260566375654
118800.0,5,0.07549274931690635
122400.0,5,0.07332331362260741
126000.0,5,0.07197047782788864
129600.0,4,0.07665597579010486
133200.0,7,0.07213734410113043
136800.0,5,0.0678321712549506
140400.0,5,0.07189596998467043
144000.0,9,0.06592370963574587
147600.0,5,0.06282827970353418
151200.0,5,0.066347399370542
154800.0,6,0.06501766844956104
158400.0,6,0.06345598975048525
162000.0,5,0.06687610367930556
165600.0,5,0.06960674454581353
169200.0,5,0.06871053994216766
172800.0,6,0.08002195021403131
